"","caseid","V012","V106","V107","V130","V131","V190","V201","V212","V217","V218","V221","V244","V301","V302A","V312","V364","V384A","V384B","V384C","V384D"
"79","1079",19,3,2,2,1,4,0,NA,3,0,NA,8,3,0,0,4,1,1,0,0
"80","1080",18,2,5,2,1,4,0,NA,8,0,NA,8,3,0,0,3,0,1,0,0
"81","1081",39,2,5,1,3,3,1,17,2,1,13,1,3,0,0,4,0,0,0,0
"82","1082",26,2,4,1,2,4,1,20,2,1,10,1,3,NA,1,1,0,1,0,0
"83","1083",42,2,5,1,1,5,3,24,2,3,996,1,3,1,0,4,1,1,1,0
"84","1084",20,3,1,1,1,5,1,18,2,1,12,1,3,NA,1,1,0,0,0,0
"85","1085",36,3,1,1,1,5,0,NA,5,0,NA,1,3,0,0,4,1,1,1,0
"86","1086",22,3,0,1,1,5,0,NA,2,0,NA,1,3,0,0,4,0,1,0,0
"87","1087",25,2,5,1,1,4,1,19,2,0,31,1,3,0,0,4,0,0,0,0
"88","1088",44,3,0,1,1,5,0,NA,2,0,NA,8,3,0,0,4,0,1,0,0
"89","1089",42,3,2,1,1,4,1,39,4,1,11,1,3,NA,1,1,1,1,0,0
"90","1090",44,3,3,1,1,5,2,23,2,2,21,1,3,NA,6,1,1,1,1,0
"91","1091",48,3,2,1,1,5,3,26,3,3,996,1,3,0,0,4,0,1,0,0
"92","1092",33,2,4,1,1,2,6,19,8,6,5,1,3,NA,6,1,0,0,0,0
"93","1093",49,1,7,1,5,5,6,19,3,6,11,1,3,1,0,4,0,0,0,0
"94","1094",28,3,3,2,1,5,0,NA,2,0,NA,1,3,0,0,4,0,1,0,0
"95","1095",20,3,3,1,1,5,0,NA,8,0,NA,8,3,0,0,4,0,1,0,0
"96","1096",19,3,2,1,1,5,0,NA,2,0,NA,1,3,0,0,4,0,1,0,0
"97","1097",26,3,0,1,1,5,2,20,3,2,7,1,3,NA,3,1,1,1,1,1
"98","1098",30,3,3,1,1,5,1,22,3,1,26,1,3,1,0,3,0,1,0,0
"99","1099",24,3,3,1,1,5,0,NA,3,0,NA,8,3,0,0,4,0,1,0,0
"100","1100",20,2,5,1,1,3,1,17,8,1,10,8,3,NA,11,1,0,0,0,0
"101","1101",48,2,4,2,2,3,4,23,3,4,7,1,3,NA,6,1,0,1,0,0
"102","1102",34,3,0,1,1,3,2,28,3,2,69,8,3,NA,9,2,1,1,1,0
"103","1103",27,1,4,1,1,3,2,16,3,2,19,8,3,1,0,3,0,0,0,0
"104","1104",47,1,2,1,1,1,5,15,2,5,NA,1,3,1,0,4,0,0,0,0
"105","1105",35,2,5,1,1,5,0,NA,2,0,NA,8,3,0,0,4,1,1,0,0
"106","1106",25,3,3,1,1,5,0,NA,2,0,NA,8,3,0,0,4,0,1,1,0
"107","1107",18,1,5,1,1,5,2,14,2,2,2,1,3,NA,3,1,0,0,0,0
"108","1108",25,3,3,1,3,5,0,NA,5,0,NA,1,3,0,0,4,0,1,1,0
"109","1109",47,2,5,2,1,4,3,20,2,3,996,1,3,0,0,4,0,0,0,0
"110","1110",45,2,3,1,1,4,4,18,2,4,14,0,3,0,0,4,1,1,0,0
"111","1111",15,2,3,1,1,4,0,NA,2,0,NA,1,3,0,0,4,0,1,0,0
"112","1112",35,2,5,1,3,4,2,17,2,2,15,1,3,NA,1,1,0,1,0,0
"113","1113",38,2,5,1,5,5,2,21,2,2,14,1,3,NA,1,1,1,1,1,0
"114","1114",35,2,5,1,4,3,2,23,2,2,13,1,3,NA,3,1,0,1,0,0
"115","1115",37,2,5,1,96,4,2,23,8,2,11,8,3,1,0,4,0,1,0,0
"116","1116",44,3,1,1,1,5,2,23,8,2,25,1,3,1,0,4,1,1,1,0
"117","1117",42,3,1,1,1,4,2,20,3,2,996,8,3,0,0,4,0,1,0,0
"118","1118",45,2,5,1,5,4,0,NA,5,0,NA,8,3,0,0,4,1,1,0,0
"119","1119",46,3,0,1,3,4,0,NA,3,0,NA,8,3,0,0,4,1,1,0,0
"120","1120",27,3,3,2,1,5,1,26,3,1,9,1,3,0,0,4,0,1,0,0
"121","1121",17,2,4,2,1,5,0,NA,8,0,NA,8,3,0,0,4,0,1,0,0
"122","1122",29,2,5,1,13,3,2,22,3,2,15,8,3,0,0,4,0,1,0,0
"123","1123",48,2,5,1,5,5,6,17,2,6,23,1,3,NA,6,1,1,1,1,0
"124","1124",23,3,3,1,1,5,0,NA,2,0,NA,1,3,0,0,4,0,1,0,0
"125","1125",20,3,2,1,1,5,0,NA,2,0,NA,8,3,0,0,3,1,1,0,0
"126","1126",16,2,3,1,1,5,0,NA,2,0,NA,1,3,0,0,4,0,1,0,0
"127","1127",45,3,0,3,1,5,2,25,5,2,NA,8,3,1,0,4,0,0,0,0
"128","1128",25,3,3,1,3,5,1,17,2,1,34,1,3,1,0,4,0,1,0,0
"129","1129",26,2,5,1,2,4,3,18,2,3,12,0,3,1,0,3,0,1,0,0
"130","1130",49,1,2,1,1,5,0,NA,2,0,NA,0,3,0,0,4,1,1,0,0
"131","1131",33,2,5,1,5,4,4,22,2,4,15,1,3,0,0,4,0,1,0,0
"132","1132",28,3,3,1,1,5,0,NA,2,0,NA,1,3,0,0,3,0,1,0,0
"133","1133",25,3,3,1,1,5,0,NA,4,0,NA,1,3,0,0,3,0,0,0,0
"134","1134",44,2,5,1,1,5,2,21,3,2,29,1,3,NA,9,2,1,1,1,0
"135","1135",22,3,3,1,1,5,0,NA,4,0,NA,1,3,0,0,3,1,1,1,0
"136","1136",42,1,7,1,1,2,3,21,3,3,8,1,3,NA,6,1,0,1,0,0
"137","1137",47,2,5,1,1,4,4,19,1,4,996,1,3,NA,1,1,0,0,0,0
"138","1138",16,2,3,1,1,4,0,NA,3,0,NA,0,3,0,0,3,0,0,0,0
"139","1139",37,2,5,1,1,4,6,16,3,6,11,1,3,NA,5,1,0,1,0,0
"140","1140",21,3,1,1,1,4,0,NA,4,0,NA,1,3,NA,9,2,1,1,1,0
"141","1141",20,3,0,1,1,4,0,NA,4,0,NA,1,3,1,0,3,1,1,1,0
"142","1142",17,2,4,1,1,4,0,NA,5,0,NA,1,3,0,0,3,1,1,1,1
"143","1143",44,3,1,1,96,5,3,24,3,3,996,1,3,NA,6,1,0,0,0,0
"144","1144",46,2,5,1,1,4,3,19,4,3,33,1,3,NA,9,2,0,0,0,0
"145","1145",17,2,5,1,1,4,0,NA,2,0,NA,1,3,0,0,3,0,1,0,0
"146","1146",36,2,5,1,2,4,0,NA,4,0,NA,1,3,0,0,4,1,1,0,0
"147","1147",19,3,3,1,1,5,0,NA,2,0,NA,1,3,0,0,3,0,0,0,0
"148","1148",19,3,2,1,1,5,0,NA,5,0,NA,1,3,0,0,3,0,0,0,0
"149","1149",18,3,0,1,1,5,0,NA,3,0,NA,0,3,0,0,3,0,0,0,0
"150","1150",18,3,1,1,1,5,0,NA,4,0,NA,1,3,0,0,3,0,0,1,0
"151","1151",16,2,4,1,1,5,0,NA,5,0,NA,1,3,0,0,3,1,1,0,0
"152","1152",39,2,5,1,2,4,2,21,3,2,12,1,3,0,0,4,1,1,1,1
"153","1153",37,2,5,1,1,4,3,18,4,3,19,1,3,0,0,4,1,1,1,0
"154","1154",49,2,5,1,1,4,2,22,4,2,4,1,3,1,0,4,0,1,0,0
"155","1155",23,3,3,1,1,4,0,NA,2,0,NA,1,3,0,0,3,0,1,0,0
"156","1156",34,2,5,1,1,4,0,NA,4,0,NA,1,3,0,0,4,0,1,0,0
"157","1157",33,2,5,1,1,4,4,21,4,4,3,1,3,NA,1,1,0,1,0,0
"158","1158",27,2,5,1,1,5,2,22,4,2,11,1,3,NA,1,1,1,1,1,0
"159","1159",25,3,3,1,1,5,0,NA,3,0,NA,1,3,0,0,3,0,0,0,0
"160","1160",49,2,5,1,1,3,7,22,3,7,27,1,3,NA,9,2,1,1,1,0
"161","1161",37,2,5,1,1,4,1,25,2,1,24,1,3,NA,9,2,0,0,0,0
"162","1162",32,2,5,1,1,4,5,22,3,5,24,1,3,NA,1,1,0,0,0,0
"163","1163",43,2,5,1,1,4,3,35,2,3,30,1,3,NA,6,1,0,1,0,0
"164","1164",33,3,2,1,1,2,1,31,2,1,14,1,3,NA,8,2,0,1,0,0
"165","1165",45,3,1,1,1,2,4,17,2,4,14,1,3,0,0,4,0,1,0,0
"166","1166",28,2,5,1,1,3,2,22,4,2,11,1,3,NA,3,1,0,1,0,0
"167","1167",42,1,5,1,1,3,3,21,3,3,5,1,3,NA,5,1,0,1,0,0
"168","1168",21,3,2,1,1,3,0,NA,5,0,NA,8,3,0,0,4,0,1,0,0
"169","1169",15,2,3,1,1,3,0,NA,8,0,NA,8,3,0,0,4,1,1,1,0
"170","1170",28,3,1,1,1,4,3,19,8,3,996,8,3,1,0,4,0,1,0,0
"171","1171",32,3,1,1,1,4,2,20,2,2,13,1,3,0,0,4,0,1,0,0
"172","1172",31,3,2,1,8,4,1,30,2,1,50,0,3,NA,3,1,0,0,0,0
"173","1173",40,3,0,1,1,2,9,18,2,9,996,1,3,NA,6,1,0,0,0,0
"174","1174",21,3,1,1,1,2,0,NA,8,0,NA,8,3,0,0,4,1,1,0,0
"175","1175",45,3,3,1,1,5,1,31,2,1,24,1,3,0,0,4,1,1,1,0
"176","1176",49,3,1,1,1,4,1,35,5,1,12,1,3,1,0,4,0,1,0,0
"177","1177",21,2,5,1,1,4,0,NA,8,0,NA,8,3,0,0,3,0,1,0,0
"178","1178",29,2,5,1,1,3,5,17,2,4,996,1,3,NA,11,1,0,1,0,0
"179","1179",19,3,2,2,1,5,0,NA,4,0,NA,1,3,0,0,3,0,1,0,0
"180","1180",38,3,1,2,1,3,3,23,3,3,9,1,3,NA,1,1,1,1,1,0
"181","1181",33,3,0,1,1,4,1,18,3,1,996,8,3,0,0,4,0,1,1,0
"182","1182",36,3,0,2,1,4,2,21,8,2,9,1,3,NA,1,1,0,1,0,0
"183","1183",39,3,3,1,1,5,6,24,8,5,18,1,3,NA,6,1,0,0,0,0
"184","1184",15,1,4,1,1,5,0,NA,8,0,NA,8,3,0,0,4,0,1,0,0
"185","1185",48,2,5,1,1,4,5,17,5,5,996,1,3,1,0,4,1,1,1,0
"186","1186",20,3,3,1,1,4,0,NA,2,0,NA,0,3,0,0,4,1,1,0,0
"187","1187",26,2,5,1,1,4,1,23,2,1,10,1,3,NA,9,2,0,1,1,1
"188","1188",24,3,3,1,1,4,0,NA,2,0,NA,1,3,0,0,4,0,1,0,0
"189","1189",18,3,1,1,1,3,0,NA,8,0,NA,8,3,0,0,4,0,0,0,0
"190","1190",25,2,5,1,1,3,2,20,2,2,5,1,3,NA,9,2,0,0,0,0
"191","1191",38,2,5,1,2,2,4,27,2,4,46,1,3,NA,5,1,0,0,0,0
"192","1192",31,2,2,1,2,3,5,19,4,5,63,1,3,NA,1,1,1,1,1,0
"193","1193",46,2,3,1,13,3,7,19,2,5,10,1,3,NA,2,1,1,1,0,0
"194","1194",19,2,3,1,13,3,2,17,4,2,18,1,3,0,0,4,1,1,0,0
"195","1195",34,2,5,1,1,3,1,31,2,1,21,1,3,0,0,4,1,1,1,0
"196","1196",36,2,5,1,13,3,0,NA,5,0,NA,8,3,0,0,4,1,1,1,0
"197","1197",42,3,3,1,1,4,1,36,3,1,66,1,3,0,0,4,0,1,0,0
"198","1198",40,2,5,1,1,4,0,NA,8,0,NA,8,3,0,0,4,1,1,0,0
"199","1199",21,2,5,3,1,5,0,NA,8,0,NA,8,3,0,0,4,0,1,0,0
"200","1200",23,3,3,1,1,5,1,21,2,1,6,1,3,NA,1,1,0,1,0,0
"201","1201",37,3,1,1,1,4,2,19,2,2,11,1,3,NA,9,2,0,1,0,0
"202","1202",18,2,5,1,1,4,0,NA,8,0,NA,8,3,0,0,4,0,1,0,0
"203","1203",26,3,3,1,3,5,2,20,2,2,12,1,3,1,0,3,0,1,0,0
"204","1204",18,3,1,2,1,4,0,NA,5,0,NA,0,3,0,0,3,0,1,1,0
"205","1205",30,2,2,1,37,4,1,21,8,1,13,1,3,NA,1,1,0,1,0,0
"206","1206",30,2,5,1,1,5,2,18,3,2,14,8,3,NA,1,1,0,1,0,0
"207","1207",16,2,3,1,1,5,0,NA,8,0,NA,8,3,0,0,4,0,1,0,0
"208","1208",48,1,7,1,4,5,3,17,8,3,18,1,3,NA,6,1,0,0,0,0
"209","1209",22,3,3,1,1,5,0,NA,3,0,NA,8,3,0,0,4,1,1,0,0
"210","1210",31,3,3,1,1,5,2,25,3,2,6,8,3,1,0,3,0,1,1,0
"211","1211",25,3,3,1,1,5,0,NA,3,0,NA,0,3,0,0,3,1,1,1,0
"212","1212",22,3,3,1,1,5,0,NA,8,0,NA,8,3,0,0,4,0,0,0,0
"213","1213",33,2,5,1,5,4,1,25,3,1,13,0,3,NA,1,1,1,1,0,0
"214","1214",47,2,5,1,1,4,3,21,8,3,13,1,3,1,0,4,0,0,1,0
"215","1215",25,3,0,1,1,4,0,NA,3,0,NA,0,3,0,0,4,0,1,1,1
"216","1216",20,2,5,1,1,2,2,18,8,2,7,8,3,1,0,3,0,0,0,0
"217","1217",40,1,7,1,2,3,4,30,2,4,9,1,3,NA,3,1,1,1,0,0
"218","1218",44,2,5,1,1,4,1,23,2,1,18,1,3,0,0,4,0,0,0,0
"219","1219",33,3,3,1,2,3,3,21,5,3,7,1,3,NA,5,1,0,1,0,0
"220","1220",16,2,4,1,1,5,0,NA,2,0,NA,1,3,0,0,4,0,1,0,0
"221","1221",49,2,5,1,1,3,0,NA,2,0,NA,1,3,0,0,4,0,1,0,0
"222","1222",47,3,1,1,1,4,1,28,2,1,0,1,3,0,0,4,0,1,1,0
"223","1223",34,2,5,1,1,5,2,21,5,2,9,0,3,NA,1,1,1,1,1,0
"224","1224",32,2,5,1,1,4,2,19,4,2,24,1,3,NA,3,1,0,0,0,0
"225","1225",26,3,1,1,1,4,1,25,5,1,20,0,3,NA,1,1,1,1,0,0
"226","1226",26,3,3,1,1,5,2,14,3,2,3,1,3,0,0,3,0,1,1,1
"227","1227",37,3,3,1,1,5,3,21,2,3,15,1,3,NA,1,1,0,0,0,0
"228","1228",41,2,4,1,1,5,3,22,3,3,24,1,3,NA,6,1,0,1,1,0
"229","1229",18,2,5,1,1,5,0,NA,3,0,NA,0,3,0,0,3,0,1,1,1
"230","1230",37,2,3,1,1,4,2,30,2,2,34,1,3,NA,9,2,0,0,0,0
"231","1231",22,3,3,1,1,5,0,NA,3,0,NA,1,3,0,0,3,0,0,0,0
"232","1232",15,2,2,1,1,5,0,NA,5,0,NA,8,3,0,0,3,0,0,0,0
"233","1233",46,3,0,6,1,3,2,31,5,2,35,0,3,1,0,4,0,0,0,0
"234","1234",16,2,3,1,1,5,0,NA,8,0,NA,8,3,0,0,4,0,1,1,0
"235","1235",31,3,1,1,1,4,2,20,3,2,15,1,3,1,0,3,0,0,0,0
"236","1236",38,3,3,1,1,5,0,NA,2,0,NA,1,3,0,0,4,1,1,0,0
"237","1237",43,2,4,1,5,3,6,20,3,6,8,0,3,NA,6,1,1,1,1,0
"238","1238",24,3,3,1,1,5,0,NA,3,0,NA,0,3,NA,9,2,1,1,1,0
"239","1239",24,3,3,1,1,5,0,NA,3,0,NA,1,3,0,0,4,1,1,1,0
"240","1240",43,3,3,1,1,5,0,NA,3,0,NA,1,3,0,0,4,1,1,1,0
"241","1241",27,3,3,1,1,5,0,NA,3,0,NA,0,3,0,0,4,0,1,1,0
"242","1242",29,3,3,1,1,5,1,28,3,1,11,0,3,NA,13,1,0,1,1,1
"243","1243",35,2,5,1,1,3,0,NA,3,0,NA,1,3,0,0,4,0,0,0,0
"244","1244",32,3,1,1,1,4,1,25,2,1,62,1,3,NA,3,1,0,0,0,0
"245","1245",49,2,5,1,2,4,1,20,3,1,NA,1,3,0,0,4,0,1,1,0
"246","1246",27,3,1,1,1,4,0,NA,3,0,NA,0,3,0,0,4,1,1,1,0
"247","1247",22,2,5,1,1,4,0,NA,3,0,NA,1,3,0,0,4,0,1,1,0
"248","1248",47,3,1,1,1,4,1,33,3,1,9,1,3,1,0,4,0,1,0,0
"249","1249",25,3,3,1,1,4,1,23,5,1,3,0,3,NA,3,1,0,1,1,1
"250","1250",38,3,3,1,1,4,3,24,2,3,9,1,3,NA,1,1,1,1,0,0
"251","1251",34,3,3,2,1,4,1,23,2,1,9,1,3,NA,1,1,1,1,1,0
"252","1252",45,3,1,1,1,4,2,30,3,1,4,1,3,NA,5,1,0,1,1,0
"253","1253",31,2,5,2,37,4,2,21,2,2,4,1,3,NA,9,2,1,1,0,0
"254","1254",35,3,1,1,13,4,3,20,3,3,24,1,3,NA,8,2,0,1,0,0
"255","1255",19,3,1,1,1,4,0,NA,8,0,NA,0,3,0,0,4,0,1,1,0
"256","1256",21,3,3,1,2,4,0,NA,2,0,NA,8,3,NA,9,2,0,1,1,0
"257","1257",45,2,5,1,1,4,5,23,2,5,25,0,3,0,0,4,0,0,0,0
"258","1258",22,3,3,1,1,4,0,NA,8,0,NA,1,3,0,0,4,0,0,0,0
"259","1259",18,3,1,1,1,4,0,NA,8,0,NA,8,3,0,0,3,0,0,0,0
"260","1260",33,2,3,1,1,3,4,18,3,4,25,8,3,1,0,3,1,1,0,0
"261","1261",18,2,5,1,1,5,0,NA,8,0,NA,8,3,0,0,4,0,0,1,0
"262","1262",38,3,1,1,1,4,2,30,5,2,31,1,3,NA,6,1,1,1,1,0
"263","1263",43,1,7,1,1,3,8,24,8,8,28,8,3,1,0,4,0,0,0,0
"264","1264",26,3,3,1,1,4,1,24,2,1,10,1,3,1,0,3,0,0,0,0
"265","1265",49,3,3,1,1,5,3,33,4,3,6,1,3,NA,6,1,0,0,0,0
"266","1266",40,2,5,3,5,4,2,35,2,2,27,1,3,NA,6,1,1,1,1,0
"267","1267",37,2,5,1,1,5,3,19,2,3,5,1,3,1,0,3,1,1,1,0
"268","1268",18,3,1,1,1,5,0,NA,2,0,NA,1,3,0,0,4,0,1,0,0
"269","1269",26,2,5,1,1,3,0,NA,2,0,NA,1,3,0,0,4,0,1,0,0
"270","1270",30,2,5,1,1,5,2,20,2,2,5,1,3,NA,1,1,0,1,1,0
"271","1271",44,3,3,1,1,5,2,22,5,2,4,0,3,1,0,4,0,0,0,0
"272","1272",34,2,5,1,1,3,2,28,5,2,136,1,3,NA,6,1,0,0,0,0
"273","1273",34,1,3,1,6,2,2,22,3,2,17,1,3,NA,1,1,0,1,0,0
"274","1274",21,3,3,1,1,5,0,NA,2,0,NA,1,3,0,0,3,0,0,0,0
"275","1275",32,3,3,1,1,5,1,25,2,1,6,1,3,NA,1,1,0,0,0,0
"276","1276",44,2,5,1,1,4,3,26,2,3,6,1,3,NA,9,2,0,1,0,0
"277","1277",18,3,1,1,1,4,0,NA,3,0,NA,1,3,0,0,3,0,0,0,0
"278","1278",31,3,0,1,4,3,1,21,3,1,10,1,3,0,0,4,0,1,0,0
"279","1279",32,3,3,1,1,5,0,NA,3,0,NA,1,3,0,0,3,0,1,0,0
"280","1280",47,2,4,1,1,5,6,18,3,6,9,1,3,1,0,3,1,1,1,0
"281","1281",26,3,3,1,1,5,0,NA,3,0,NA,1,3,0,0,4,1,1,1,0
"282","1282",24,3,2,1,1,5,0,NA,5,0,NA,1,3,0,0,4,0,1,1,1
"283","1283",19,3,0,1,1,5,0,NA,3,0,NA,1,3,0,0,4,0,1,1,1
"284","1284",17,2,4,1,1,5,0,NA,8,0,NA,1,3,0,0,4,1,1,1,0
"285","1285",27,2,5,1,1,5,0,NA,3,0,NA,1,3,0,0,3,0,1,1,0
"286","1286",19,3,0,1,1,5,0,NA,3,0,NA,1,3,0,0,4,1,1,1,0
"287","1287",32,2,5,1,1,4,4,18,2,4,16,1,3,NA,1,1,0,0,0,0
"288","1288",27,2,5,1,1,3,2,17,5,2,11,1,3,NA,2,1,0,0,0,0
"289","1289",35,3,3,1,1,4,0,NA,3,0,NA,1,3,0,0,4,0,1,1,1
"290","1290",23,1,7,1,96,2,3,15,5,3,10,1,3,NA,1,1,0,0,0,0
"291","1291",47,1,3,1,2,3,10,18,8,10,996,1,3,0,0,4,0,1,0,0
"292","1292",26,3,3,1,1,4,2,23,2,2,37,1,3,NA,1,1,0,1,0,0
"293","1293",30,3,3,1,4,3,0,NA,2,0,NA,1,3,0,0,4,1,1,0,0
